Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
2006-11-16,Liverpool,Watford,6,1,H,3,0,H,M Oliver,28,11,17,8,14,10,6,3,1,2,0,0,1.29,6.0,12.0,1.29,6.19,11.8,1.3,5.0,13.0,1.29,6.3,11.95
2006-11-16,Swansea,Man United,1,3,A,0,3,A,N Swarbrick,6,9,1,3,9,16,2,0,0,2,0,0,5.0,4.0,1.73,4.94,4.01,1.76,5.0,3.75,1.73,5.53,4.04,1.69
2006-11-16,Arsenal,Tottenham,1,1,D,1,0,H,M Clattenburg,15,10,2,3,11,17,7,2,1,2,0,0,1.95,3.6,4.2,1.95,3.59,4.35,2.0,3.2,4.33,1.97,3.63,4.2
2006-11-16,Leicester,West Brom,1,2,A,0,0,D,C Pawson,5,11,2,5,8,8,5,6,0,2,0,0,1.8,3.6,5.25,1.78,3.63,5.49,1.8,3.3,5.5,1.74,3.72,5.65
2006-11-16,Hull,Southampton,2,1,H,0,1,A,G Scott,6,19,2,7,13,15,1,10,0,5,0,0,5.75,3.8,1.7,5.73,3.88,1.7,5.5,3.6,1.7,5.75,3.9,1.69
2007-05-17,Liverpool,Southampton,0,0,D,0,0,D,R Madley,17,4,8,0,9,4,3,6,1,3,0,0,1.62,4.2,6.0,1.61,4.21,6.12,1.62,4.0,6.0,1.61,4.15,6.3
2007-05-17,Arsenal,Man United,2,0,H,0,0,D,A Marriner,9,10,4,4,14,10,5,9,1,0,0,0,1.91,3.7,4.33,1.94,3.72,4.22,1.91,3.6,4.2,2.12,3.58,3.72
2008-03-17,Man City,Stoke,0,0,D,0,0,D,N Swarbrick,12,5,1,2,8,11,8,1,1,3,0,0,1.25,6.5,15.0,1.25,6.8,13.6,1.25,6.0,13.0,1.24,7.05,14.25
2008-04-17,Bournemouth,Chelsea,1,3,A,1,2,A,A Marriner,12,15,1,5,7,11,4,4,2,3,0,0,6.5,4.0,1.6,6.35,4.26,1.59,6.0,3.6,1.62,6.85,4.5,1.53
2008-04-17,West Ham,Swansea,1,0,H,1,0,H,K Friend,14,4,6,1,12,12,4,3,5,1,0,0,2.1,3.6,3.7,2.09,3.49,3.92,2.1,3.3,3.5,2.21,3.4,3.65
2008-04-17,Man City,Hull,3,1,H,1,0,H,J Moss,23,6,7,1,6,8,7,3,0,2,0,0,1.2,7.5,17.0,1.22,7.6,14.85,1.22,6.0,13.0,1.2,8.2,16.0
2008-04-17,Middlesbrough,Burnley,0,0,D,0,0,D,M Atkinson,12,7,5,2,9,12,4,3,0,3,0,0,2.45,3.1,3.4,2.42,3.15,3.45,2.4,3.0,3.2,2.64,3.04,3.2
2008-04-17,Stoke,Liverpool,1,2,A,1,0,H,M Dean,9,14,4,4,7,11,5,8,0,2,0,0,4.0,3.75,1.95,4.06,3.71,1.98,4.0,3.4,1.95,3.51,3.3,2.31
