Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA,GoalDiff_HT,GoalDiff_FT,TotalHomeShots,TotalAwayShots,HomeTeam_ID,AwayTeam_ID
2015,Man City,Bournemouth,5,1,H,4,1,H,M Dean,15,5,11,1,11,5,1,7,2,1,0,0,1.33,5.75,10.0,1.34,5.58,10.6,1.36,4.8,8.5,1.34,5.38,10.93,3,4,26,6,18,0
2015,Southampton,Leicester,2,2,D,2,0,H,P Tierney,14,26,6,7,16,10,6,7,2,0,0,0,1.75,4.0,5.0,1.76,3.88,5.1,1.8,3.25,5.0,1.73,3.94,5.32,2,0,20,33,11,3
2015,Tottenham,Liverpool,0,0,D,0,0,D,C Pawson,13,12,4,3,15,11,8,6,1,2,0,0,2.5,3.5,3.0,2.48,3.54,2.99,2.5,3.3,3.0,2.28,3.52,3.36,0,0,17,15,14,19
2015,Watford,Arsenal,0,3,A,0,0,D,M Jones,8,17,1,6,11,12,3,9,2,1,0,0,6.0,4.2,1.62,6.29,4.31,1.59,6.0,3.6,1.62,6.75,4.54,1.53,0,-3,9,23,15,6
2015,West Brom,Sunderland,1,0,H,0,0,D,M Atkinson,8,9,1,2,12,13,1,5,2,2,0,0,2.05,3.4,4.2,2.08,3.42,4.07,2.1,3.0,4.0,2.15,3.35,3.91,0,1,9,11,9,12
2015,Newcastle,Norwich,6,2,H,3,2,H,A Taylor,11,18,6,6,10,10,3,7,1,1,0,0,2.6,3.4,2.88,2.58,3.44,2.93,2.62,3.1,2.8,2.48,3.54,2.99,1,4,17,24,7,5
2015,Swansea,Stoke,0,1,A,0,1,A,R Madley,14,9,2,2,6,14,1,2,2,2,0,0,2.05,3.4,4.2,2.08,3.41,4.06,2.05,3.1,4.0,1.88,3.66,4.62,-1,-1,16,11,13,8
2015,Arsenal,Everton,2,1,H,2,1,H,L Mason,20,10,5,5,11,14,7,5,2,0,0,1,1.44,4.75,8.0,1.43,5.07,8.2,1.44,4.0,8.0,1.39,5.3,8.8,1,1,25,15,6,2
2015,Aston Villa,Swansea,1,2,A,0,0,D,N Swarbrick,9,11,3,4,10,8,4,6,2,3,0,0,3.0,3.3,2.6,3.09,3.22,2.59,3.0,2.9,2.62,3.01,3.25,2.63,0,-1,12,15,10,13
2015,Leicester,Crystal Palace,1,0,H,0,0,D,M Dean,12,9,3,4,7,11,3,2,3,1,0,0,2.2,3.6,3.4,2.21,3.56,3.48,2.3,2.9,3.5,2.17,3.57,3.58,0,1,15,13,3,17
2015,Norwich,West Brom,0,1,A,0,0,D,K Friend,16,7,3,4,11,6,13,3,1,2,0,0,2.0,3.5,4.2,2.02,3.49,4.18,2.05,3.1,4.0,1.98,3.74,4.03,0,-1,19,11,5,9
2015,Stoke,Watford,0,2,A,0,1,A,M Atkinson,12,13,1,3,10,18,11,5,3,1,0,0,2.1,3.3,4.0,2.1,3.38,4.03,2.15,3.1,3.6,2.1,3.49,3.89,-1,-2,13,16,8,15
2015,West Ham,Chelsea,2,1,H,1,0,H,J Moss,12,8,5,4,10,12,7,4,1,5,0,1,4.0,3.8,1.95,3.91,3.74,2.01,4.0,3.2,2.0,4.21,3.86,1.91,1,1,17,12,16,1
2015,Bournemouth,Tottenham,1,5,A,1,3,A,R East,11,14,3,9,8,15,4,5,0,1,0,0,3.4,3.5,2.25,3.58,3.42,2.23,3.5,3.0,2.25,3.52,3.55,2.2,-2,-4,14,23,0,14
2015,Liverpool,Southampton,1,1,D,0,0,D,A Marriner,15,8,2,3,8,11,10,7,1,0,0,1,2.05,3.6,3.8,2.08,3.56,3.87,2.1,3.3,3.9,2.09,3.53,3.87,0,0,17,11,19,11
2015,Man United,Man City,0,0,D,0,0,D,M Clattenburg,6,6,1,1,17,13,6,4,2,2,0,0,2.6,3.5,2.8,2.59,3.41,2.93,2.7,3.2,2.88,2.63,3.32,2.95,0,0,7,7,4,18
2015,Sunderland,Newcastle,3,0,H,1,0,H,R Madley,9,21,3,8,12,10,1,10,0,2,0,1,2.6,3.4,2.9,2.57,3.41,2.96,2.62,3.1,3.0,2.63,3.38,2.91,1,3,12,29,12,7
2015,Chelsea,Liverpool,1,3,A,1,1,D,M Clattenburg,8,16,2,7,9,21,1,7,1,4,0,0,2.1,3.5,3.75,2.07,3.54,3.92,2.1,3.2,3.75,2.12,3.47,3.84,0,-2,10,23,1,19
2015,Crystal Palace,Man United,0,0,D,0,0,D,M Jones,10,5,5,1,12,15,7,3,3,3,0,0,3.8,3.5,2.1,4.02,3.46,2.08,4.0,3.0,2.1,4.46,3.56,1.94,0,0,15,6,17,4
2015,Man City,Norwich,2,1,H,0,0,D,R Madley,21,5,5,3,4,13,12,4,2,2,0,1,1.29,6.0,12.0,1.3,6.22,11.03,1.29,5.0,12.0,1.27,6.59,12.5,0,1,26,8,18,5
2015,Newcastle,Stoke,0,0,D,0,0,D,R East,15,9,6,2,6,16,11,4,1,3,0,0,2.4,3.4,3.2,2.39,3.43,3.24,2.4,3.1,3.1,2.37,3.39,3.29,0,0,21,11,7,8
2015,Swansea,Arsenal,0,3,A,0,0,D,K Friend,8,15,3,5,12,7,4,4,2,0,0,0,5.0,4.0,1.75,5.05,3.93,1.76,5.0,3.5,1.75,4.73,4.01,1.79,0,-3,11,20,13,6
2015,Watford,West Ham,2,0,H,1,0,H,K Stroud,20,8,5,3,16,12,7,2,3,0,0,1,2.6,3.4,2.9,2.6,3.38,2.94,2.62,3.1,2.8,2.5,3.42,3.05,1,2,25,11,15,16
2015,West Brom,Leicester,2,3,A,1,0,H,A Taylor,14,13,6,5,3,11,6,4,0,2,0,0,2.9,3.4,2.6,2.84,3.36,2.7,2.9,3.0,2.62,2.97,3.38,2.58,1,-1,20,18,9,3
2015,Everton,Sunderland,6,2,H,2,1,H,A Marriner,15,17,8,9,6,5,6,1,3,2,0,0,1.5,4.5,7.5,1.49,4.61,7.5,1.53,3.8,7.0,1.48,4.7,7.5,1,4,23,26,2,12
2015,Southampton,Bournemouth,2,0,H,2,0,H,C Pawson,11,16,2,2,5,5,4,6,0,2,1,0,1.55,4.33,6.5,1.55,4.37,6.88,1.57,3.8,6.0,1.53,4.41,7.22,2,2,13,18,11,0
2015,Tottenham,Aston Villa,3,1,H,2,0,H,M Dean,17,13,6,2,6,15,4,3,0,3,0,0,1.44,4.75,8.0,1.43,4.8,9.0,1.44,4.2,8.0,1.4,5.09,9.32,2,2,23,15,14,10
2015,Bournemouth,Newcastle,0,1,A,0,1,A,L Mason,20,2,5,1,9,11,16,0,2,2,0,0,2.25,3.5,3.4,2.18,3.56,3.57,2.25,3.1,3.4,2.22,3.62,3.4,-1,-1,25,3,0,7
2015,Leicester,Watford,2,1,H,0,0,D,R East,12,8,6,4,10,10,4,2,0,1,0,0,1.85,3.8,4.5,1.88,3.79,4.43,1.83,3.2,4.33,1.93,3.71,4.34,0,1,18,12,3,15
